[Thu Sep 03 07:00:45.859973 2020] [php7:notice] [pid 5847] [client 127.0.0.1:34786] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 73, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:05:49.617211 2020] [php7:emerg] [pid 5735] [client 127.0.0.1:34790] PHP Parse error:  syntax error, unexpected '.' in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 47, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:05:57.044960 2020] [php7:notice] [pid 5736] [client 127.0.0.1:34792] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:05:57.045147 2020] [php7:notice] [pid 5736] [client 127.0.0.1:34792] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 72, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:06:49.153111 2020] [php7:notice] [pid 5737] [client 127.0.0.1:34796] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:06:49.153272 2020] [php7:notice] [pid 5737] [client 127.0.0.1:34796] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 72, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:08:57.232289 2020] [php7:notice] [pid 5734] [client 127.0.0.1:34798] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:08:57.232645 2020] [php7:notice] [pid 5734] [client 127.0.0.1:34798] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 72, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:09:37.973637 2020] [php7:notice] [pid 5733] [client 127.0.0.1:34800] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:09:37.973841 2020] [php7:notice] [pid 5733] [client 127.0.0.1:34800] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 72, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:10:14.853134 2020] [php7:notice] [pid 5847] [client 127.0.0.1:34802] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:10:14.853310 2020] [php7:notice] [pid 5847] [client 127.0.0.1:34802] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 72, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:11:35.316782 2020] [php7:notice] [pid 5735] [client 127.0.0.1:34806] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:11:35.317003 2020] [php7:notice] [pid 5735] [client 127.0.0.1:34806] PHP Notice:  Undefined offset: 3 in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 72, referer: http://savepharma/painel/regras/gerir/id/1
[Thu Sep 03 07:13:06.359639 2020] [php7:notice] [pid 5736] [client 127.0.0.1:34816] PHP Notice:  Undefined property: stdClass::$vinculo in /var/www/html/savepharma/app/controles/produtos/vitrine.php on line 33, referer: http://savepharma/painel/regras/gerir/id/1
